id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,label
16559,1,0,2,5,Meal Plan 1,0,Room_Type 4,24,2018,4,10,Online,0,0,0,127.97,1,1
16560,2,1,2,1,Meal Plan 1,0,Room_Type 1,14,2018,4,16,Online,0,0,0,127.67,0,1
16561,2,0,0,2,Meal Plan 1,0,Room_Type 1,37,2017,9,16,Online,0,0,0,94.5,0,0
16562,2,0,1,1,Meal Plan 1,1,Room_Type 1,10,2018,8,8,Online,0,0,0,160,1,0
16563,2,0,0,3,Meal Plan 1,0,Room_Type 1,34,2018,6,28,Offline,0,0,0,76.5,0,0
16564,2,0,1,2,Meal Plan 1,0,Room_Type 1,3,2018,4,25,Online,0,0,0,131,1,0
16565,2,0,2,3,Meal Plan 1,0,Room_Type 4,201,2018,8,6,Offline,0,0,0,82.45,0,0
16566,2,0,1,2,Meal Plan 1,0,Room_Type 1,49,2018,3,18,Offline,0,0,0,63.58,0,0
16567,2,0,0,1,Meal Plan 1,0,Room_Type 4,37,2018,12,30,Online,0,0,0,146,1,0
16568,1,0,1,2,Meal Plan 1,0,Room_Type 4,129,2018,5,13,Online,0,0,0,121.5,1,0
16569,2,0,1,2,Meal Plan 1,0,Room_Type 1,159,2018,9,19,Offline,0,0,0,144,0,1
16570,2,0,0,3,Meal Plan 1,0,Room_Type 1,17,2018,6,30,Online,0,0,0,151,1,1
16571,2,0,2,0,Meal Plan 1,0,Room_Type 4,52,2018,7,31,Online,0,0,0,149.4,1,0
16572,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,9,13,Corporate,0,0,0,184,1,0
16573,2,0,0,3,Meal Plan 1,0,Room_Type 1,62,2018,9,1,Online,0,0,0,109.8,1,0
16574,2,0,2,1,Not Selected,0,Room_Type 1,13,2018,6,12,Online,0,0,0,102.33,0,0
16575,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,2018,12,9,Offline,0,0,0,75,0,0
16576,1,0,1,4,Meal Plan 2,0,Room_Type 4,17,2018,3,14,Offline,0,0,0,82,0,0
16577,2,0,0,1,Meal Plan 1,0,Room_Type 2,38,2018,2,13,Online,0,0,0,69.52,0,0
16578,2,0,2,2,Meal Plan 1,0,Room_Type 1,19,2018,12,3,Online,0,0,0,89.89,1,0
16579,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,7,23,Online,0,0,0,101.18,0,0
16580,1,0,0,1,Meal Plan 1,0,Room_Type 1,19,2018,8,31,Online,0,0,0,99.2,0,1
16581,2,0,1,4,Meal Plan 1,0,Room_Type 1,18,2017,10,5,Online,0,0,0,107,2,0
16582,1,0,1,5,Meal Plan 1,0,Room_Type 4,20,2018,11,15,Online,0,0,0,96.9,1,0
16583,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,1,19,Online,0,0,0,80,0,0
16584,2,0,1,2,Meal Plan 1,0,Room_Type 2,27,2017,12,4,Online,0,0,0,74.33,1,0
16585,1,0,1,1,Meal Plan 1,0,Room_Type 1,159,2018,4,9,Offline,0,0,0,65,0,0
16586,2,0,0,3,Meal Plan 1,0,Room_Type 1,41,2018,3,24,Online,0,0,0,117.6,0,0
16587,2,2,0,1,Meal Plan 1,0,Room_Type 6,4,2018,12,28,Online,0,0,0,185,0,0
16588,2,0,0,4,Meal Plan 1,0,Room_Type 1,20,2018,5,11,Offline,0,0,0,95,0,0
16589,1,0,1,2,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110,0,0
16590,2,0,2,2,Meal Plan 1,0,Room_Type 1,209,2018,10,9,Online,0,0,0,75.23,1,0
16591,1,0,0,2,Meal Plan 1,0,Room_Type 1,41,2018,2,9,Online,0,0,0,57.83,1,0
16592,1,0,1,3,Meal Plan 1,0,Room_Type 1,0,2018,12,19,Corporate,1,1,7,67,1,0
16593,1,0,0,1,Meal Plan 1,0,Room_Type 1,12,2018,4,19,Online,0,0,0,95,0,0
16594,2,0,1,1,Meal Plan 1,0,Room_Type 1,22,2017,11,14,Online,0,0,0,87,1,0
16595,2,0,1,2,Not Selected,1,Room_Type 1,190,2018,8,8,Online,0,0,0,103.5,2,1
16596,2,0,1,0,Meal Plan 1,0,Room_Type 1,137,2017,8,16,Online,0,0,0,76.5,0,0
16597,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,6,23,Online,0,0,0,97,1,0
16598,1,0,0,4,Meal Plan 1,0,Room_Type 5,13,2018,2,3,Corporate,0,0,0,86,0,0
16599,2,0,2,2,Meal Plan 1,0,Room_Type 1,44,2018,9,18,Offline,0,0,0,85.5,0,0
16600,2,0,0,1,Not Selected,0,Room_Type 1,36,2018,5,7,Online,0,0,0,104.49,0,0
16601,2,0,1,2,Meal Plan 1,0,Room_Type 1,124,2018,6,10,Online,0,0,0,126.9,2,0
16602,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,2017,9,30,Online,0,0,0,113.4,0,0
16603,2,0,2,3,Not Selected,0,Room_Type 1,61,2018,7,23,Online,0,0,0,94.5,1,0
16604,1,0,1,0,Meal Plan 1,0,Room_Type 1,3,2017,8,2,Complementary,0,0,0,0,1,0
16605,2,0,4,10,Not Selected,0,Room_Type 1,116,2018,4,26,Online,0,0,0,86.21,0,1
16606,1,0,1,3,Meal Plan 1,0,Room_Type 5,4,2018,9,19,Corporate,0,0,0,181.79,0,0
16607,2,1,0,1,Meal Plan 1,0,Room_Type 6,9,2018,12,10,Complementary,1,0,8,0,1,0
16608,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2017,11,6,Offline,0,0,0,75,0,0
16609,2,0,0,1,Meal Plan 1,0,Room_Type 4,11,2018,4,7,Offline,0,0,0,92.8,0,0
16610,2,0,1,5,Meal Plan 1,0,Room_Type 4,272,2018,12,27,Online,0,0,0,110.78,0,0
16611,2,0,0,1,Meal Plan 2,0,Room_Type 1,13,2018,4,28,Online,0,0,0,169,0,1
16612,1,0,1,1,Not Selected,0,Room_Type 1,38,2018,7,2,Online,0,0,0,107.1,0,1
16613,2,0,0,3,Meal Plan 1,0,Room_Type 1,433,2018,9,8,Offline,0,0,0,70,0,1
16614,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,2018,4,22,Offline,0,0,0,85,0,1
16615,2,0,1,3,Not Selected,0,Room_Type 1,46,2018,3,10,Online,0,0,0,67.15,1,0
16616,2,0,2,1,Not Selected,0,Room_Type 1,33,2018,11,20,Offline,0,0,0,63,0,0
16617,2,0,2,5,Not Selected,0,Room_Type 1,94,2018,4,7,Online,0,0,0,75.89,1,1
16618,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,2018,4,22,Offline,0,0,0,85,0,1
16619,2,0,0,1,Not Selected,0,Room_Type 1,7,2018,10,25,Online,0,0,0,120,1,0
16620,2,0,1,2,Not Selected,0,Room_Type 1,9,2018,12,5,Online,0,0,0,88,1,0
16621,2,0,2,2,Meal Plan 1,0,Room_Type 1,117,2018,11,6,Corporate,0,0,0,71.4,0,0
16622,1,2,0,3,Meal Plan 1,0,Room_Type 1,201,2018,8,25,Online,0,0,0,121.5,1,1
16623,2,0,0,2,Not Selected,0,Room_Type 1,62,2018,3,11,Online,0,0,0,67.5,0,0
16624,3,0,2,0,Meal Plan 1,0,Room_Type 4,14,2018,5,8,Online,0,0,0,147,2,0
16625,2,0,2,1,Meal Plan 1,0,Room_Type 1,45,2018,4,23,Offline,0,0,0,95,1,0
16626,2,0,1,2,Meal Plan 2,0,Room_Type 1,309,2018,5,13,Offline,0,0,0,101,0,1
16627,2,0,0,2,Meal Plan 1,0,Room_Type 2,178,2018,8,31,Online,0,0,0,103.69,0,1
16628,2,0,0,3,Meal Plan 1,0,Room_Type 1,35,2018,1,5,Offline,0,0,0,60,0,0
16629,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Offline,0,0,0,115,1,1
16630,2,0,0,3,Meal Plan 1,0,Room_Type 4,21,2018,2,11,Online,0,0,0,64.22,1,0
16631,2,0,2,1,Meal Plan 1,0,Room_Type 1,271,2018,12,3,Offline,0,0,0,78.3,0,0
16632,1,0,0,1,Meal Plan 1,0,Room_Type 1,47,2018,4,12,Online,0,0,0,99.9,0,1
16633,2,0,2,1,Meal Plan 2,0,Room_Type 1,103,2017,7,18,Offline,0,0,0,94.5,0,1
16634,2,0,0,3,Not Selected,1,Room_Type 1,235,2018,8,31,Online,0,0,0,94.5,1,1
16635,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,7,12,Corporate,0,0,0,79,0,0
16636,2,0,2,2,Meal Plan 1,0,Room_Type 1,28,2018,5,1,Online,0,0,0,133.95,1,0
16637,1,0,1,1,Meal Plan 1,0,Room_Type 1,93,2018,6,20,Online,0,0,0,126.9,1,0
16638,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110,0,1
16639,2,0,1,2,Not Selected,0,Room_Type 1,90,2018,4,8,Online,0,0,0,76.5,1,0
16640,2,0,1,4,Meal Plan 1,0,Room_Type 1,44,2018,11,14,Online,0,0,0,88.4,2,0
16641,1,0,2,2,Meal Plan 1,0,Room_Type 1,45,2017,9,18,Online,0,0,0,85.5,0,0
16642,2,0,0,2,Meal Plan 1,0,Room_Type 1,24,2017,12,4,Offline,0,0,0,55,0,0
16643,2,0,0,2,Meal Plan 1,0,Room_Type 4,79,2018,10,12,Online,0,0,0,119.07,0,1
16644,2,0,0,3,Meal Plan 1,0,Room_Type 4,60,2018,9,1,Online,0,0,0,123.3,2,0
16645,2,0,2,3,Meal Plan 1,0,Room_Type 1,36,2018,4,23,Online,0,0,0,105.48,1,0
16646,2,0,3,6,Meal Plan 1,0,Room_Type 4,119,2018,7,18,Online,0,0,0,119.28,1,0
16647,0,2,2,2,Meal Plan 1,0,Room_Type 2,65,2018,2,27,Online,0,0,0,65.66,0,1
16648,2,0,1,2,Meal Plan 1,0,Room_Type 1,59,2018,8,5,Online,0,0,0,104.64,1,0
16649,2,0,0,1,Meal Plan 1,0,Room_Type 1,7,2018,3,22,Online,0,0,0,101,0,1
16650,2,0,2,6,Not Selected,0,Room_Type 1,69,2018,9,1,Online,0,0,0,123.98,0,1
16651,2,1,0,4,Meal Plan 1,0,Room_Type 1,49,2017,12,30,Offline,0,0,0,85,0,0
16652,2,0,0,1,Meal Plan 1,0,Room_Type 1,18,2018,1,16,Online,0,0,0,89,1,0
16653,2,0,2,2,Meal Plan 1,0,Room_Type 1,108,2018,3,13,Online,0,0,0,59.37,0,0
16654,2,0,1,4,Meal Plan 1,0,Room_Type 1,19,2018,2,15,Offline,0,0,0,46.4,0,0
16655,1,2,0,1,Meal Plan 1,0,Room_Type 1,143,2018,7,13,Online,0,0,0,106.03,0,0
16656,2,0,1,1,Meal Plan 1,0,Room_Type 4,16,2018,7,30,Online,0,0,0,166,1,0
16657,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,5,31,Corporate,0,0,0,100,0,1
16658,2,0,1,3,Meal Plan 1,1,Room_Type 1,41,2018,6,20,Online,0,0,0,110.7,1,0
16659,2,0,2,1,Meal Plan 1,0,Room_Type 1,4,2018,9,25,Online,0,0,0,180,1,0
16660,2,0,0,1,Meal Plan 1,1,Room_Type 2,238,2018,6,18,Online,0,0,0,114.48,2,1
16661,2,0,1,1,Not Selected,0,Room_Type 1,175,2018,7,23,Online,0,0,0,85.5,1,0
16662,2,0,0,3,Meal Plan 1,0,Room_Type 4,6,2018,9,13,Online,0,0,0,184,2,0
16663,2,0,0,3,Meal Plan 1,0,Room_Type 2,184,2018,10,4,Online,0,0,0,101.05,0,1
16664,1,0,0,2,Meal Plan 1,0,Room_Type 1,5,2018,1,14,Online,1,11,4,73.9,1,0
16665,2,0,1,2,Meal Plan 1,0,Room_Type 4,26,2018,5,20,Online,0,0,0,158.33,0,1
16666,1,0,1,0,Meal Plan 1,0,Room_Type 1,11,2018,4,17,Online,0,0,0,95,0,0
16667,2,0,2,3,Meal Plan 1,0,Room_Type 1,29,2018,12,1,Online,0,0,0,104,1,0
16668,2,0,1,2,Meal Plan 1,0,Room_Type 1,267,2018,9,30,Offline,0,0,0,95,0,1
16669,2,0,0,1,Meal Plan 1,0,Room_Type 1,24,2018,5,14,Offline,0,0,0,95,1,0
16670,3,0,0,1,Meal Plan 1,0,Room_Type 7,82,2018,7,2,Online,0,0,0,185.03,2,0
16671,1,0,0,1,Meal Plan 1,0,Room_Type 1,48,2018,3,17,Online,0,0,0,76.5,1,1
16672,2,1,0,1,Meal Plan 2,0,Room_Type 1,184,2018,8,17,Online,0,0,0,164.25,1,1
16673,2,0,2,3,Meal Plan 1,0,Room_Type 4,144,2018,5,22,Online,0,0,0,112.03,1,0
16674,2,0,2,5,Meal Plan 1,0,Room_Type 1,144,2018,7,23,Online,0,0,0,99.45,1,1
16675,2,0,0,2,Meal Plan 1,0,Room_Type 4,78,2018,3,22,Offline,0,0,0,69.7,0,0
16676,2,0,0,2,Not Selected,0,Room_Type 1,117,2018,5,3,Online,0,0,0,94.5,1,0
16677,2,0,0,1,Meal Plan 1,0,Room_Type 1,38,2018,1,23,Online,0,0,0,80.3,1,0
16678,3,0,2,3,Meal Plan 1,0,Room_Type 1,61,2018,11,12,Offline,0,0,0,92.65,2,0
16679,2,0,0,1,Meal Plan 1,0,Room_Type 1,101,2018,6,8,Online,0,0,0,97.71,0,1
16680,2,0,1,3,Meal Plan 1,0,Room_Type 2,47,2017,10,19,Offline,0,0,0,72.36,1,0
16681,1,0,0,2,Meal Plan 1,0,Room_Type 1,45,2018,2,19,Online,0,0,0,72.9,0,1
16682,2,0,0,2,Meal Plan 1,0,Room_Type 4,32,2017,10,20,Offline,0,0,0,75,0,0
16683,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,10,3,Corporate,1,0,9,65,1,0
16684,2,0,2,5,Meal Plan 1,0,Room_Type 1,196,2018,8,1,Offline,0,0,0,72.25,0,0
16685,2,1,2,3,Meal Plan 1,0,Room_Type 1,179,2018,10,28,Online,0,0,0,107.1,2,1
16686,2,0,4,6,Not Selected,0,Room_Type 1,207,2018,8,13,Online,0,0,0,81.6,0,1
16687,2,0,1,3,Meal Plan 2,0,Room_Type 1,51,2018,3,21,Online,0,0,0,125.8,1,1
16688,2,0,1,2,Meal Plan 1,0,Room_Type 4,138,2018,7,4,Online,0,0,0,91.48,1,0
16689,1,0,0,2,Meal Plan 1,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,87.5,0,0
16690,2,1,1,3,Meal Plan 1,0,Room_Type 1,21,2018,7,25,Online,0,0,0,178,1,1
16691,3,0,1,2,Meal Plan 1,1,Room_Type 4,141,2018,9,5,Online,0,0,0,168.3,2,0
16692,1,0,0,3,Meal Plan 1,0,Room_Type 1,15,2018,2,18,Offline,0,0,0,86,0,0
16693,2,0,1,3,Meal Plan 1,0,Room_Type 1,116,2018,5,12,Online,0,0,0,109.65,1,0
16694,2,0,2,4,Meal Plan 2,0,Room_Type 1,327,2017,9,9,Offline,0,0,0,88,0,0
16695,2,0,0,4,Meal Plan 1,0,Room_Type 1,39,2018,12,28,Online,0,0,0,115.6,1,0
16696,2,0,1,0,Meal Plan 1,0,Room_Type 1,88,2018,6,26,Online,0,0,0,96.3,0,1
16697,2,0,0,1,Meal Plan 1,1,Room_Type 1,82,2017,9,5,Online,0,0,0,98.25,2,0
16698,2,1,1,3,Meal Plan 1,0,Room_Type 1,20,2018,12,22,Online,0,0,0,88.4,0,0
16699,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130,0,1
16700,2,0,0,4,Meal Plan 1,0,Room_Type 1,247,2018,10,25,Online,0,0,0,90.95,0,1
16701,1,0,0,2,Meal Plan 1,0,Room_Type 1,58,2018,1,27,Offline,0,0,0,81,0,0
16702,2,0,0,2,Meal Plan 1,0,Room_Type 1,137,2018,8,26,Online,0,0,0,96.3,0,0
16703,2,0,2,4,Meal Plan 1,0,Room_Type 4,79,2018,4,3,Online,0,0,0,95.2,0,1
16704,1,0,1,0,Meal Plan 1,0,Room_Type 1,25,2018,9,12,Online,0,0,0,108,0,1
16705,2,0,0,3,Meal Plan 1,0,Room_Type 1,40,2018,10,25,Offline,0,0,0,85,0,0
16706,2,0,2,1,Not Selected,0,Room_Type 1,67,2017,12,5,Online,0,0,0,95.4,2,0
16707,1,0,1,1,Meal Plan 1,0,Room_Type 1,10,2018,7,4,Corporate,0,0,0,137.7,0,0
16708,1,0,0,3,Meal Plan 1,0,Room_Type 1,7,2018,5,5,Offline,0,0,0,112,0,0
16709,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,4,21,Corporate,1,0,20,67,1,0
16710,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115,1,1
16711,2,0,2,2,Meal Plan 1,0,Room_Type 1,47,2018,12,17,Online,0,0,0,93.6,2,0
16712,2,0,1,2,Meal Plan 1,0,Room_Type 1,17,2018,11,14,Online,0,0,0,67.76,1,0
16713,1,0,1,0,Meal Plan 1,0,Room_Type 1,13,2018,12,5,Online,0,0,0,96,0,0
16714,2,0,0,2,Meal Plan 1,0,Room_Type 4,6,2018,8,5,Online,0,0,0,166,1,0
16715,2,0,2,2,Meal Plan 1,0,Room_Type 1,37,2018,10,29,Offline,0,0,0,75,0,0
16716,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,11,14,Corporate,0,0,0,79,0,0
16717,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120,0,0
16718,3,0,1,2,Meal Plan 1,0,Room_Type 4,48,2018,5,6,Online,0,0,0,159.3,0,1
16719,2,0,0,1,Meal Plan 1,0,Room_Type 1,17,2018,12,9,Online,0,0,0,111,0,0
16720,2,0,2,1,Not Selected,0,Room_Type 1,89,2018,5,29,Online,0,0,0,116.1,0,1
16721,2,0,2,5,Meal Plan 1,0,Room_Type 1,8,2017,8,21,Online,0,0,0,85.57,0,0
16722,2,2,1,2,Not Selected,0,Room_Type 6,11,2017,8,21,Online,0,0,0,153,1,0
16723,2,2,0,2,Meal Plan 1,0,Room_Type 6,28,2018,9,13,Online,0,0,0,231,1,0
16724,2,0,0,3,Meal Plan 1,0,Room_Type 4,63,2018,4,19,Online,0,0,0,118.8,1,0
16725,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,12,12,Corporate,1,0,1,77,2,0
16726,2,0,1,1,Meal Plan 1,0,Room_Type 1,61,2018,4,30,Offline,0,0,0,89.75,1,0
16727,3,0,2,5,Meal Plan 1,0,Room_Type 4,122,2018,7,28,Online,0,0,0,140.27,0,0
16728,2,0,1,3,Meal Plan 1,0,Room_Type 1,290,2018,12,1,Online,0,0,0,73.95,0,1
16729,2,0,2,3,Meal Plan 1,0,Room_Type 1,118,2018,7,15,Online,0,0,0,99.45,0,1
16730,1,0,0,4,Meal Plan 1,0,Room_Type 1,13,2018,4,19,Aviation,0,0,0,95,0,0
16731,2,0,2,1,Meal Plan 1,0,Room_Type 1,109,2018,4,30,Online,0,0,0,77.03,1,0
16732,2,0,1,3,Meal Plan 1,0,Room_Type 1,145,2018,6,30,Online,0,0,0,90.95,1,0
16733,2,0,2,3,Meal Plan 1,0,Room_Type 4,141,2018,6,10,Online,0,0,0,116.62,0,1
16734,1,0,2,2,Meal Plan 1,0,Room_Type 1,34,2018,2,6,Online,0,0,0,67.5,1,1
16735,2,1,0,2,Meal Plan 1,0,Room_Type 1,51,2018,8,18,Online,0,0,0,152.1,0,1
16736,2,0,1,2,Meal Plan 1,0,Room_Type 1,65,2018,8,12,Offline,0,0,0,85,1,0
16737,2,0,1,4,Meal Plan 1,0,Room_Type 1,154,2018,9,12,Offline,0,0,0,80.75,0,0
16738,1,0,2,2,Meal Plan 1,0,Room_Type 1,163,2018,6,5,Offline,0,0,0,100,0,1
16739,2,0,1,4,Meal Plan 1,0,Room_Type 1,275,2018,10,5,Offline,0,0,0,90,0,1
16740,2,0,0,1,Not Selected,0,Room_Type 1,16,2018,2,20,Online,0,0,0,79,1,0
16741,1,0,0,3,Meal Plan 1,0,Room_Type 1,68,2018,5,10,Online,0,0,0,121.5,0,1
16742,2,0,2,5,Meal Plan 1,0,Room_Type 1,28,2017,9,11,Online,0,0,0,113.79,1,1
16743,1,0,2,0,Meal Plan 1,0,Room_Type 4,2,2018,10,30,Aviation,0,0,0,99,0,0
16744,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,9,30,Online,0,0,0,106.2,0,1
16745,1,0,0,1,Meal Plan 1,0,Room_Type 4,35,2018,11,16,Online,0,0,0,114,2,0
16746,2,0,2,1,Meal Plan 1,0,Room_Type 1,179,2018,7,2,Online,0,0,0,96.3,2,0
16747,2,0,0,1,Not Selected,0,Room_Type 1,21,2018,4,13,Online,0,0,0,119,0,0
16748,2,0,1,1,Not Selected,0,Room_Type 1,40,2018,3,26,Offline,0,0,0,62.8,0,0
16749,2,0,1,2,Meal Plan 1,0,Room_Type 1,10,2018,3,14,Offline,0,0,0,80,0,0
16750,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,22,Complementary,0,0,0,0,0,0
16751,2,0,1,2,Meal Plan 1,0,Room_Type 1,35,2018,5,9,Online,0,0,0,126.9,0,1
16752,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104,0,0
16753,2,0,1,2,Meal Plan 1,0,Room_Type 1,207,2018,12,30,Offline,0,0,0,161.67,0,0
16754,2,0,1,2,Meal Plan 1,0,Room_Type 4,19,2018,2,8,Offline,0,0,0,48.67,0,0
16755,2,0,1,3,Meal Plan 1,0,Room_Type 4,23,2018,6,2,Online,0,0,0,140.9,0,1
16756,2,0,2,5,Meal Plan 1,0,Room_Type 1,116,2018,3,5,Offline,0,0,0,57,0,0
16757,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,9,15,Online,0,0,0,159,2,0
16758,2,2,1,1,Meal Plan 1,1,Room_Type 6,41,2018,6,27,Online,0,0,0,189.9,3,0
16759,2,0,1,3,Meal Plan 1,0,Room_Type 1,75,2018,3,17,Offline,0,0,0,12,0,1
16760,2,0,2,1,Meal Plan 2,0,Room_Type 1,23,2018,1,2,Offline,0,0,0,109,0,0
16761,2,0,1,4,Meal Plan 1,0,Room_Type 6,2,2018,4,27,Online,0,0,0,162.47,2,0
16762,3,0,0,4,Meal Plan 1,0,Room_Type 4,57,2018,4,5,Online,0,0,0,130.05,0,1
16763,2,0,1,1,Not Selected,0,Room_Type 1,36,2018,5,21,Online,0,0,0,116.1,1,0
16764,2,0,0,1,Meal Plan 1,0,Room_Type 1,82,2017,9,5,Online,0,0,0,89.25,2,0
16765,2,0,0,2,Meal Plan 1,0,Room_Type 1,185,2018,5,6,Online,0,0,0,81.77,2,1
16766,2,0,2,1,Meal Plan 2,0,Room_Type 1,150,2018,1,2,Offline,0,0,0,101,0,0
16767,2,0,1,1,Meal Plan 1,1,Room_Type 4,53,2018,10,15,Online,0,0,0,183.5,1,0
16768,2,0,0,1,Not Selected,0,Room_Type 1,33,2018,1,22,Online,0,0,0,51.97,0,1
16769,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,2017,8,14,Offline,0,0,0,109,0,0
16770,1,0,1,4,Meal Plan 1,0,Room_Type 1,190,2018,6,22,Offline,0,0,0,95,0,0
16771,3,0,2,2,Meal Plan 1,0,Room_Type 1,82,2018,7,3,Online,0,0,0,112.96,1,0
16772,1,0,1,1,Meal Plan 1,0,Room_Type 1,0,2017,11,9,Corporate,1,0,2,65,0,0
16773,3,1,0,1,Meal Plan 1,0,Room_Type 4,82,2018,7,9,Online,0,0,0,181.7,1,0
16774,2,0,0,3,Meal Plan 1,0,Room_Type 1,103,2018,5,4,Offline,0,0,0,80,0,0
16775,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,2018,11,20,Online,0,0,0,90,2,1
16776,2,0,2,2,Meal Plan 1,0,Room_Type 1,87,2018,6,11,Offline,0,0,0,80.75,0,0
16777,2,0,2,5,Meal Plan 1,0,Room_Type 1,98,2018,4,30,Online,0,0,0,109.81,1,0
16778,1,0,0,1,Not Selected,0,Room_Type 1,28,2018,11,2,Online,0,0,0,110,0,1
16779,0,2,2,3,Meal Plan 1,0,Room_Type 2,216,2018,10,23,Online,0,0,0,83.83,3,0
16780,2,0,0,1,Meal Plan 1,0,Room_Type 1,147,2018,9,13,Offline,0,0,0,130,0,1
16781,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105,0,0
16782,1,0,0,2,Meal Plan 1,0,Room_Type 4,62,2018,9,27,Online,0,0,0,115.04,1,0
16783,2,0,0,2,Meal Plan 1,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,105,0,0
16784,2,0,1,2,Meal Plan 1,0,Room_Type 1,74,2018,11,11,Online,0,0,0,93.6,2,0
16785,2,0,0,2,Meal Plan 1,0,Room_Type 1,63,2018,11,4,Online,0,0,0,97.2,1,1
16786,2,1,2,3,Meal Plan 1,0,Room_Type 1,68,2018,4,23,Online,0,0,0,109.65,0,1
16787,1,0,0,1,Meal Plan 1,0,Room_Type 1,47,2018,4,12,Online,0,0,0,99.9,0,1
16788,2,0,0,3,Meal Plan 1,0,Room_Type 4,61,2018,9,8,Online,0,0,0,145.4,1,0
16789,2,0,0,1,Not Selected,0,Room_Type 1,58,2018,9,8,Online,0,0,0,125.1,0,1
16790,2,0,1,2,Meal Plan 1,0,Room_Type 1,41,2018,3,4,Offline,0,0,0,65,0,0
16791,2,0,2,5,Meal Plan 1,0,Room_Type 1,84,2018,3,12,Offline,0,0,0,73.95,0,0
16792,3,0,0,4,Meal Plan 1,0,Room_Type 1,24,2017,11,3,Offline,0,0,0,60.75,1,0
16793,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109,0,0
16794,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,11,Offline,0,0,0,120,1,1
16795,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,107,0,1
16796,3,0,2,2,Meal Plan 1,0,Room_Type 4,47,2018,3,18,Online,0,0,0,124.1,1,1
16797,2,0,0,3,Meal Plan 1,0,Room_Type 1,25,2018,2,11,Online,0,0,0,93,1,0
16798,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,10,13,Online,0,0,0,120,1,0
16799,2,0,0,4,Meal Plan 1,0,Room_Type 4,94,2018,5,17,Online,0,0,0,132.6,1,0
16800,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Offline,0,0,0,60,0,1
16801,2,0,1,2,Meal Plan 1,0,Room_Type 1,150,2018,4,22,Online,0,0,0,96.3,3,0
16802,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,12,28,Corporate,0,0,0,77,0,0
16803,2,1,1,3,Meal Plan 1,0,Room_Type 1,192,2018,8,4,Online,0,0,0,114.75,2,1
16804,2,0,1,4,Meal Plan 1,0,Room_Type 1,32,2017,10,26,Online,0,0,0,113.4,1,0
16805,2,0,0,1,Meal Plan 1,0,Room_Type 1,32,2018,2,6,Online,0,0,0,78.3,0,1
16806,2,0,1,1,Meal Plan 1,0,Room_Type 1,21,2017,12,28,Online,0,0,0,107,2,0
16807,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,6,2,Offline,0,0,0,140,0,0
16808,1,0,1,0,Meal Plan 1,0,Room_Type 5,2,2017,8,2,Complementary,0,0,0,0,0,0
